"Segment Name"
"Initial_State"
"Propagate"
"PRM1_Target.Maneuver"
"PRM1_Target.Propagate"
"ARB1"
"Propagate1"
"ARB2"
"Propagate2"
"ARB3"
"Propagate3"
"Final_ARB.Maneuver"
"Final_ARB.Propagate"
"Final_PRM.Maneuver"
"Final_PRM.Propagate"
"Propagate4"

"Time (UTCG)","X (km)","Y (km)","Z (km)","Vx (km/sec)","Vy (km/sec)","Vz (km/sec)"
6 Jan 2027 17:00:00.000,6563.137000,-0.000000,0.001488,-0.000001,9.134706,4.654366
6 Jan 2027 17:01:00.000,6546.477266,547.618881,279.026413,-0.554575,9.111562,4.642532
6 Jan 2027 17:02:00.969,6495.695477,1101.240037,561.104951,-1.108970,9.041539,4.606742
6 Jan 2027 17:03:02.553,6410.601595,1654.716596,843.100724,-1.650812,8.925949,4.547666
6 Jan 2027 17:04:05.334,6290.302985,2210.288384,1126.150580,-2.176419,8.766162,4.466011
6 Jan 2027 17:05:09.934,6133.161514,2770.229503,1411.408696,-2.682256,8.563588,4.362503
6 Jan 2027 17:06:16.999,5936.847078,3336.540695,1699.889750,-3.164610,8.319818,4.237963
6 Jan 2027 17:07:27.075,5698.868607,3909.802612,1991.884785,-3.618758,8.037334,4.093667
6 Jan 2027 17:08:40.274,5418.301799,4486.664429,2285.682520,-4.037708,7.721331,3.932277
6 Jan 2027 17:09:56.015,5097.905536,5058.661778,2576.968627,-4.412962,7.381201,3.758597
6 Jan 2027 17:11:13.657,4742.225394,5618.020951,2861.782816,-4.739700,7.027211,3.577875
6 Jan 2027 17:12:33.217,4353.674955,6162.712122,3139.091351,-5.018888,6.666184,3.393596
6 Jan 2027 17:13:55.187,3932.297731,6694.140032,3409.609672,-5.254049,6.301920,3.207701
6 Jan 2027 17:15:20.212,3476.960303,7214.336107,3674.372033,-5.448899,5.936848,3.021430
6 Jan 2027 17:16:48.974,2985.984075,7725.008899,3934.247928,-5.606730,5.572816,2.835724
6 Jan 2027 17:18:22.171,2457.386674,8227.365991,4189.851461,-5.730391,5.211373,2.651372
6 Jan 2027 17:20:00.523,1888.975382,8722.132693,4441.550922,-5.822375,4.853879,2.469068
6 Jan 2027 17:21:44.778,1278.424547,9209.574094,4689.480075,-5.884906,4.501568,2.289439
6 Jan 2027 17:23:35.712,623.375983,9689.493142,4933.537250,-5.920010,4.155594,2.113070
6 Jan 2027 17:25:34.121,-78.422419,10161.209807,5173.374844,-5.929584,3.817076,1.940531
6 Jan 2027 17:27:40.802,-828.923418,10623.527344,5408.382272,-5.915453,3.487134,1.772391
6 Jan 2027 17:29:56.525,-1629.551025,11074.713060,5637.676352,-5.879434,3.166908,1.609227
6 Jan 2027 17:32:22.003,-2480.986826,11512.526676,5860.115915,-5.823390,2.857537,1.451619
6 Jan 2027 17:34:57.883,-3383.114057,11934.349767,6074.367802,-5.749244,2.560087,1.300106
6 Jan 2027 17:37:44.762,-4335.134879,12337.372573,6279.001935,-5.658964,2.275436,1.155134
6 Jan 2027 17:40:43.236,-5335.883418,12718.801412,6472.596747,-5.554492,2.004178,1.017003
6 Jan 2027 17:43:53.952,-6384.133582,13075.978013,6653.799734,-5.437666,1.746576,0.885844
6 Jan 2027 17:47:17.645,-7478.787438,13406.392974,6821.334148,-5.310153,1.502593,0.761636
6 Jan 2027 17:50:55.160,-8618.947143,13707.633335,6973.972226,-5.173422,1.271959,0.644239
6 Jan 2027 17:54:47.451,-9803.840867,13977.289397,7110.487766,-5.028740,1.054252,0.533438
6 Jan 2027 17:58:55.575,-11032.714577,14212.874437,7229.615307,-4.877184,0.848963,0.428971
6 Jan 2027 18:03:20.689,-12304.736000,14411.767822,7330.021218,-4.719667,0.655545,0.330557
6 Jan 2027 18:08:04.037,-13618.850713,14571.168684,7410.280211,-4.556956,0.473442,0.237914
6 Jan 2027 18:13:06.953,-14973.717658,14688.077989,7468.866253,-4.389694,0.302111,0.150763
6 Jan 2027 18:18:30.853,-16367.592601,14759.283236,7504.144861,-4.218413,0.141029,0.068838
6 Jan 2027 18:24:17.234,-17798.245471,14781.357108,7514.372483,-4.043553,-0.010295,-0.008114
6 Jan 2027 18:30:27.677,-19262.891454,14750.661403,7497.698548,-3.865466,-0.152327,-0.080329
6 Jan 2027 18:37:03.841,-20758.082209,14663.355705,7452.169964,-3.684428,-0.285496,-0.148026
6 Jan 2027 18:44:07.460,-22279.609670,14515.414110,7375.739715,-3.500649,-0.410199,-0.211408
6 Jan 2027 18:51:40.343,-23822.417634,14302.646533,7266.277772,-3.314271,-0.526798,-0.270660
6 Jan 2027 18:59:44.374,-25380.506444,14020.723974,7121.584038,-3.125372,-0.635624,-0.325951
6 Jan 2027 19:08:21.501,-26946.796634,13665.216366,6939.407722,-2.933974,-0.736973,-0.377431
6 Jan 2027 19:17:33.728,-28513.002575,13231.639358,6717.471263,-2.740037,-0.831104,-0.425232
6 Jan 2027 19:27:23.112,-30069.514934,12715.505843,6453.496654,-2.543463,-0.918240,-0.469469
6 Jan 2027 19:37:51.760,-31605.270366,12112.384810,6145.235516,-2.344084,-0.998567,-0.510235
6 Jan 2027 19:49:01.802,-33107.553138,11417.994957,5790.516920,-2.141670,-1.072228,-0.547604
6 Jan 2027 20:00:55.399,-34561.872554,10628.279488,5387.285568,-1.935912,-1.139320,-0.581624
6 Jan 2027 20:13:34.711,-35951.731043,9739.537284,4933.668773,-1.726416,-1.199885,-0.612317
6 Jan 2027 20:27:01.935,-37258.500482,8748.493760,4428.012631,-1.512680,-1.253909,-0.639675
6 Jan 2027 20:41:19.266,-38461.102147,7652.481824,3868.974424,-1.294081,-1.301302,-0.663653
6 Jan 2027 20:56:28.933,-39535.755946,6449.565529,3255.585779,-1.069842,-1.341885,-0.684158
6 Jan 2027 21:12:33.210,-40455.579939,5138.733932,2587.351692,-0.838988,-1.375363,-0.701039
6 Jan 2027 21:29:34.345,-41190.016402,3720.274178,1864.440959,-0.600325,-1.401288,-0.714068
6 Jan 2027 21:47:34.030,-41704.053841,2196.899768,1088.261353,-0.352483,-1.419000,-0.722907
6 Jan 2027 22:06:30.156,-41957.824217,578.913397,264.089196,-0.094560,-1.427569,-0.727083
6 Jan 2027 22:13:35.954,-41977.574813,-29.126714,-45.579784,0.001781,-1.428200,-0.727333
6 Jan 2027 22:14:35.954,-41977.060065,-114.980544,-89.301894,0.015386,-1.433592,-0.730069
6 Jan 2027 22:17:34.037,-41970.703933,-371.698802,-220.035269,0.056075,-1.449520,-0.738151
6 Jan 2027 22:18:52.999,-41965.558650,-486.432554,-278.461567,0.074265,-1.456544,-0.741715
6 Jan 2027 22:19:52.999,-41960.695452,-573.820203,-322.961613,0.087842,-1.456373,-0.741618
6 Jan 2027 22:26:01.265,-41912.994349,-1109.877301,-595.922623,0.171233,-1.454698,-0.740704
6 Jan 2027 22:42:58.080,-41621.488611,-2584.537232,-1346.703835,0.402444,-1.444463,-0.735321
6 Jan 2027 22:59:13.302,-41119.949230,-3985.175180,-2059.633711,0.626637,-1.426645,-0.726082
6 Jan 2027 23:14:45.099,-40434.914279,-5303.568205,-2730.543803,0.844406,-1.401819,-0.713279
6 Jan 2027 23:29:33.447,-39590.947400,-6535.509554,-3357.309569,1.056513,-1.370413,-0.697128
6 Jan 2027 23:43:38.906,-38610.551829,-7678.776098,-3938.815183,1.263651,-1.332732,-0.677785
6 Jan 2027 23:57:02.319,-37514.293782,-8732.489272,-4474.628165,1.466415,-1.288985,-0.655356
7 Jan 2027 00:09:44.716,-36320.924446,-9696.810692,-4964.844456,1.665307,-1.239304,-0.629907
7 Jan 2027 00:21:47.261,-35047.502397,-10572.729485,-5409.980195,1.860740,-1.183757,-0.601473
7 Jan 2027 00:33:11.228,-33709.487167,-11361.911110,-5810.894791,2.053056,-1.122360,-0.570062
7 Jan 2027 00:43:57.980,-32320.826483,-12066.566815,-6168.724505,2.242534,-1.055082,-0.535657
7 Jan 2027 00:54:08.932,-30894.083189,-12689.321513,-6484.815251,2.429390,-0.981855,-0.498224
7 Jan 2027 01:03:45.552,-29440.484521,-13233.136336,-6760.683197,2.613793,-0.902571,-0.457708
7 Jan 2027 01:12:49.331,-27970.040017,-13701.208274,-6997.963724,2.795859,-0.817095,-0.414040
7 Jan 2027 01:21:21.774,-26491.615564,-14096.901764,-7198.376653,2.975659,-0.725258,-0.367133
7 Jan 2027 01:29:24.386,-25013.020696,-14423.683364,-7363.693031,3.153220,-0.626865,-0.316888
7 Jan 2027 01:36:58.661,-23541.090608,-14685.066860,-7495.707235,3.328524,-0.521693,-0.263192
7 Jan 2027 01:44:06.069,-22081.778104,-14884.564979,-7596.212448,3.501508,-0.409496,-0.205918
7 Jan 2027 01:50:48.052,-20640.218727,-15025.653052,-7666.982200,3.672064,-0.290000,-0.144928
7 Jan 2027 01:57:06.022,-19220.786246,-15111.736584,-7709.753888,3.840038,-0.162905,-0.080070
7 Jan 2027 02:03:01.345,-17827.201387,-15146.120344,-7726.213117,4.005225,-0.027890,-0.011177
7 Jan 2027 02:08:35.346,-16462.564938,-15131.988752,-7717.983729,4.167367,0.115397,0.061926
7 Jan 2027 02:13:49.302,-15129.434612,-15072.386469,-7686.617977,4.326147,0.267329,0.139433
7 Jan 2027 02:18:44.444,-13829.865830,-14970.202597,-7633.588502,4.481187,0.428309,0.221546
7 Jan 2027 02:23:21.953,-12565.476596,-14828.157933,-7560.281887,4.632039,0.598767,0.308486
7 Jan 2027 02:27:42.957,-11337.510008,-14648.796974,-7467.994632,4.778177,0.779159,0.400485
7 Jan 2027 02:31:48.534,-10146.868984,-14434.479411,-7357.928838,4.918985,0.969970,0.497790
7 Jan 2027 02:35:39.712,-8994.163120,-14187.374031,-7231.189140,5.053746,1.171711,0.600660
7 Jan 2027 02:39:17.463,-7879.786644,-13909.463274,-7088.785074,5.181628,1.384915,0.709367
7 Jan 2027 02:42:42.705,-6803.958602,-13602.545696,-6931.632360,5.301660,1.610127,0.824190
