"Time (UTCG)","x (km)","y (km)","z (km)"
20 Jan 2027 00:20:53.826,-463130.221740,-8986.184318,-8200.209173
20 Jan 2027 00:27:37.973,-463126.012855,-9075.887597,-8251.969145
20 Jan 2027 01:03:22.989,-463098.565782,-9551.899263,-8526.605654
20 Jan 2027 03:39:21.720,-462878.196387,-11626.785583,-9723.155281
20 Jan 2027 13:09:04.305,-460678.534256,-19167.932075,-14064.092157
20 Jan 2027 23:47:30.231,-455587.871572,-27513.547605,-18852.796821
21 Jan 2027 09:54:53.689,-448117.216707,-35300.378957,-23304.828509
21 Jan 2027 19:44:32.320,-438339.242032,-42664.200181,-27498.729060
22 Jan 2027 05:08:57.329,-426556.167466,-49478.332810,-31362.985699
22 Jan 2027 13:53:28.682,-413378.261302,-55551.290847,-34790.646870
22 Jan 2027 22:00:15.075,-399122.025031,-60910.947293,-37799.783099
23 Jan 2027 05:31:06.132,-384070.092550,-65586.681033,-40409.195501
23 Jan 2027 12:28:21.119,-368450.562706,-69616.769004,-42642.525463
23 Jan 2027 18:53:54.970,-352469.819359,-73037.844061,-44522.335993
24 Jan 2027 00:49:15.280,-336325.759581,-75885.177111,-46070.328565
24 Jan 2027 06:16:06.269,-320181.088950,-78198.910597,-47310.761738
24 Jan 2027 11:16:04.431,-304181.640280,-80019.908149,-48268.149155
24 Jan 2027 15:51:05.978,-288432.736372,-81391.796844,-48968.293303
24 Jan 2027 20:03:11.016,-273010.020262,-82357.483670,-49436.342914
24 Jan 2027 23:54:20.019,-257962.515504,-82957.629171,-49695.942067
25 Jan 2027 03:26:23.172,-243325.313087,-83229.370856,-49768.584099
25 Jan 2027 06:40:54.992,-229129.707830,-83206.426949,-49673.748906
25 Jan 2027 09:39:17.804,-215403.737884,-82919.837530,-49429.352360
25 Jan 2027 12:22:45.883,-202170.399177,-82398.415302,-49052.011790
25 Jan 2027 14:52:28.416,-189445.885593,-81668.859664,-48557.111969
25 Jan 2027 17:09:30.741,-177239.203290,-80755.717461,-47958.784592
25 Jan 2027 19:14:54.408,-165553.095089,-79681.378917,-47269.910770
25 Jan 2027 21:09:36.872,-154385.502613,-78466.176697,-46502.183187
25 Jan 2027 22:54:31.496,-143730.591781,-77128.516026,-45666.182304
26 Jan 2027 00:30:27.563,-133579.751094,-75685.045112,-44771.475483
26 Jan 2027 01:58:10.555,-123922.090855,-74150.787180,-43826.691445
26 Jan 2027 03:18:22.430,-114744.842966,-72539.255136,-42839.584784
26 Jan 2027 04:31:41.769,-106033.925911,-70862.596598,-41817.119832
26 Jan 2027 05:38:35.940,-97791.164519,-69135.393878,-40767.771557
26 Jan 2027 06:39:30.195,-90018.360808,-67372.421130,-39700.132733
26 Jan 2027 07:34:59.237,-82691.844157,-65582.343558,-38619.109235
26 Jan 2027 08:25:34.638,-75787.741705,-63772.423078,-37528.792685
26 Jan 2027 09:11:44.716,-69283.119910,-61948.876330,-36432.673884
26 Jan 2027 09:53:54.957,-63155.874443,-60116.950926,-35333.685850
26 Jan 2027 10:32:28.264,-57384.902802,-58281.066994,-34234.286578
26 Jan 2027 11:07:45.277,-51950.009894,-56444.873818,-33136.491117
26 Jan 2027 11:40:04.578,-46832.005709,-54611.356613,-32041.933955
26 Jan 2027 12:09:42.959,-42012.562069,-52782.853828,-30951.878132
26 Jan 2027 12:36:55.578,-37474.288399,-50961.140176,-29867.263822
26 Jan 2027 13:01:56.145,-33200.670830,-49147.454626,-28788.724199
26 Jan 2027 13:24:57.098,-29175.977304,-47342.499611,-27716.584394
26 Jan 2027 13:46:09.733,-25385.242279,-45546.459765,-26650.872266
26 Jan 2027 14:05:44.320,-21814.254303,-43759.013391,-25591.324964
26 Jan 2027 14:23:50.258,-18449.387632,-41979.249760,-24537.339856
26 Jan 2027 14:40:36.168,-15277.586574,-40205.633901,-23487.953927
26 Jan 2027 14:56:10.030,-12286.188991,-38435.853595,-22441.753733
26 Jan 2027 15:10:39.294,-9462.809850,-36666.643592,-21396.772434
26 Jan 2027 15:24:00.694,-6829.232722,-34916.830106,-20364.085756
26 Jan 2027 15:34:48.410,-4682.035821,-33408.405228,-19474.508369
26 Jan 2027 15:44:30.726,-2740.314228,-31971.793818,-18627.826499
26 Jan 2027 15:53:05.426,-1017.971230,-30631.769911,-17838.537559
26 Jan 2027 16:00:16.954,428.007429,-29452.625757,-17144.375092
26 Jan 2027 16:06:26.959,1667.261493,-28397.762024,-16523.662545
26 Jan 2027 16:12:37.495,2905.695021,-27297.742762,-15876.662696
26 Jan 2027 16:19:38.295,4305.866904,-25991.487737,-15108.731510
26 Jan 2027 16:26:49.263,5728.483784,-24585.708153,-14282.734049
26 Jan 2027 16:33:58.721,7128.703956,-23110.625731,-13416.502521
26 Jan 2027 16:40:59.604,8476.830909,-21587.097294,-12522.336740
26 Jan 2027 16:47:40.433,9730.315561,-20058.855115,-11625.923399
26 Jan 2027 16:53:53.242,10861.059108,-18565.035549,-10750.197341
26 Jan 2027 16:59:41.014,11876.924252,-17104.957763,-9894.720782
26 Jan 2027 17:05:07.100,12787.075846,-15674.897787,-9057.277299
26 Jan 2027 17:10:14.673,13600.008472,-14270.190171,-8235.105896
26 Jan 2027 17:15:06.707,14323.261264,-12885.448699,-7425.031016
26 Jan 2027 17:19:46.007,14963.286892,-11514.597663,-6623.481448
26 Jan 2027 17:24:15.267,15525.370828,-10150.769958,-5826.431435
26 Jan 2027 17:28:37.148,16013.538508,-8786.089243,-5029.274348
26 Jan 2027 17:32:54.377,16430.402000,-7411.325721,-4226.623113
26 Jan 2027 17:37:09.829,16776.836890,-6015.644031,-3412.165191
26 Jan 2027 17:41:26.461,17051.373634,-4587.232742,-2579.032398
26 Jan 2027 17:45:36.307,17243.080081,-3176.251410,-1756.488882
26 Jan 2027 17:49:39.047,17354.335434,-1791.558455,-949.681058
26 Jan 2027 17:53:36.598,17389.323914,-428.814487,-156.061474
26 Jan 2027 17:57:31.049,17351.078403,917.958484,627.865273
26 Jan 2027 18:01:20.174,17243.887464,2230.488288,1391.482273
26 Jan 2027 18:05:11.284,17066.964741,3545.487653,2156.159259
26 Jan 2027 18:09:06.620,16817.977830,4870.225051,2926.114254
26 Jan 2027 18:13:10.009,16490.755319,6220.076285,3710.264787
26 Jan 2027 18:17:20.945,16083.705693,7585.488688,4503.039061
26 Jan 2027 18:21:41.314,15592.324826,8969.657572,5306.271796
26 Jan 2027 18:26:12.524,15012.672331,10372.437808,6119.855917
26 Jan 2027 18:30:52.987,14348.380379,11778.283121,6934.758748
26 Jan 2027 18:35:27.144,13643.053890,13106.742989,7704.377087
26 Jan 2027 18:40:02.918,12885.155879,14396.626784,8451.244027
26 Jan 2027 18:44:44.808,12067.396662,15667.078899,9186.466136
26 Jan 2027 18:49:35.896,11184.269828,16928.810403,9916.249535
26 Jan 2027 18:54:38.767,10230.592453,18188.976717,10644.731894
26 Jan 2027 18:59:55.820,9201.105671,19452.795081,11374.921997
26 Jan 2027 19:05:29.408,8090.347888,20724.240111,12109.104030
26 Jan 2027 19:11:21.907,6892.644997,22006.368342,12849.026491
26 Jan 2027 19:17:35.749,5602.166113,23301.470835,13595.991353
26 Jan 2027 19:24:11.328,4220.411728,24604.382544,14346.999690
26 Jan 2027 19:30:57.045,2791.732774,25873.915830,15078.314535
26 Jan 2027 19:37:49.812,1331.256721,27101.473609,15785.013798
26 Jan 2027 19:44:42.762,-132.863050,28270.003054,16457.323768
26 Jan 2027 19:49:54.629,-1238.604464,29115.853042,16943.728155
