"Time (UTCG)","x (km)","y (km)","z (km)"
6 Jan 2027 17:00:00.000,6563.137000,0.000000,0.000000
6 Jan 2027 17:01:00.000,6546.477329,547.618893,279.024906
6 Jan 2027 17:02:00.969,6495.695604,1101.240060,561.103432
6 Jan 2027 17:03:02.553,6410.601786,1654.716632,843.099201
6 Jan 2027 17:04:05.334,6290.303240,2210.288432,1126.149061
6 Jan 2027 17:05:09.934,6133.161834,2770.229562,1411.407190
6 Jan 2027 17:06:16.999,5936.847464,3336.540766,1699.888264
6 Jan 2027 17:07:27.075,5698.869058,3909.802696,1991.883330
6 Jan 2027 17:08:40.274,5418.302316,4486.664525,2285.681104
6 Jan 2027 17:09:56.015,5097.906119,5058.661886,2576.967260
6 Jan 2027 17:11:13.657,4742.226043,5618.021071,2861.781506
6 Jan 2027 17:12:33.217,4353.675666,6162.712253,3139.090106
6 Jan 2027 17:13:55.187,3932.298503,6694.140175,3409.608501
6 Jan 2027 17:15:20.212,3476.961136,7214.336260,3674.370943
6 Jan 2027 17:16:48.974,2985.984967,7725.009064,3934.246929
6 Jan 2027 17:18:22.171,2457.387624,8227.366166,4189.850560
6 Jan 2027 17:20:00.523,1888.976389,8722.132879,4441.550130
6 Jan 2027 17:21:44.778,1278.425610,9209.574290,4689.479400
6 Jan 2027 17:23:35.712,623.377101,9689.493348,4933.536704
6 Jan 2027 17:25:34.121,-78.421247,10161.210023,5173.374437
6 Jan 2027 17:27:40.802,-828.922192,10623.527569,5408.382016
6 Jan 2027 17:29:56.525,-1629.549747,11074.713295,5637.676258
6 Jan 2027 17:32:22.003,-2480.985498,11512.526920,5860.115997
6 Jan 2027 17:34:57.883,-3383.112680,11934.350021,6074.368071
6 Jan 2027 17:37:44.762,-4335.133456,12337.372835,6279.002402
6 Jan 2027 17:40:43.236,-5335.881951,12718.801682,6472.597426
6 Jan 2027 17:43:53.952,-6384.132074,13075.978290,6653.800636
6 Jan 2027 17:47:17.645,-7478.785892,13406.393258,6821.335284
6 Jan 2027 17:50:55.160,-8618.945563,13707.633626,6973.973608
6 Jan 2027 17:54:47.451,-9803.839256,13977.289694,7110.489405
6 Jan 2027 17:58:55.575,-11032.712939,14212.874738,7229.617215
6 Jan 2027 18:03:20.689,-12304.734339,14411.768127,7330.023406
6 Jan 2027 18:08:04.037,-13618.849034,14571.168992,7410.282690
